,question,answer
436,i went to school today. did you go to school?,"aku tidak bisa pergi ke sekolah hari ini, aku sakit."
437,"i couldn't go to school today, i was sick.",mengerikan. Saya akan dengan senang hati memberi Anda tugas dari kelas bahasa Inggris.
438,that's horrible. i'd be happy to give you the assignments from english class.,"terima kasih banyak, Anda baik sekali."
439,"thank you very much, that's kind of you.",jangan sebutkan itu.
440,don't mention it.,"ketika kamu bolos satu hari sekolah, dengan senang hati aku akan memberimu tugas bahasa inggris."
441,did you hear the news?,Apa yang terjadi?
442,what happened?,sepupu kami melahirkan dan melahirkan bayinya minggu lalu.
443,our cousin went into labor and had her baby last week.,Dia melakukanya? kenapa tidak ada yang memberitahuku?
444,she did? why didn't anyone tell me?,Aku kira seseorang akan memberitahumu.
445,i would've thought that somebody would have told you.,"tidak, aku tidak tahu."
446,"no, i had no idea.","ya, benar, berat bayinya 8 pon 6 ons."
447,"well, she did, her baby was 8 pounds 6 ounces.","ya Tuhan, bagus sekali!"
448,"oh my god, that's great!",apakah kamu akan pergi mengunjungi dia dan bayinya?
449,are you going to go and visit her and the baby?,menurutku mungkin saja.
450,i think that i might.,Bagus! aku hanya berpikir aku akan memberitahumu.
451,good! i just thought i'd let you know.,terima kasih sudah memberitahuku.
452,have you heard what happened?,mendengar apa?
453,heard what?,debrah sudah melahirkan bayinya.
454,debrah already had her baby.,saya tidak tahu itu.
455,i didn't know that.,aku pikir kamu tahu.
456,i thought you knew.,sejujurnya aku tidak tahu.
457,i honestly didn't know.,bayinya 8 pon 6 ons.
458,the baby was 8 pounds 6 ounces.,itu terdengar baik.
459,that's good to hear.,maukah kamu pergi dan mengunjungi mereka?
460,will you go and visit them?,tentu saja saya akan.
461,of course i will.,aku hanya ingin memberimu kabar baik.
462,i just wanted to give you the good news.,terima kasih telah memberi tahu saya.
463,have you heard the news?,aku belum mendengar apa pun.
464,i haven't heard anything.,debrah melahirkan bayinya minggu lalu.
465,debrah had her baby last week.,tidak ada yang memberitahuku.
466,nobody told me.,aku pikir kamu mendengarnya.
467,i thought you heard.,aku benar-benar tidak diberitahu apa pun.
468,i really wasn't told anything.,dia cantik dengan berat 8 pon 6 ons.
469,she was a cute 8 pounds 6 ounces.,"wah, seru sekali."
470,"wow, how exciting.","aku tahu, kamu harus benar-benar pergi menemui dia dan bayinya."
471,"i know, you should really go and see her and the baby.",tentu saja saya akan.
472,of course i will.,aku hanya ingin memberitahumu apa yang terjadi.
473,did you go to school today?,Tentu saja. Apakah kamu?
474,of course. did you?,"aku tidak mau, jadi aku tidak melakukannya."
475,"i didn't want to, so i didn't.","itu menyedihkan, tapi apakah kamu pergi ke bioskop akhir-akhir ini?"
476,"that's sad, but have you gone to the movies recently?",itu saklar.
477,that's a switch.,"aku serius, ya?"
478,"i'm serious, have you?","tidak, aku belum melakukannya. Mengapa?"
479,"no, i haven't. why?",aku benar-benar ingin pergi ke bioskop akhir pekan ini.
480,i really want to go to the movies this weekend.,jadi pergilah.
481,so go then.,aku benar-benar tidak ingin pergi sendiri.
482,i really don't want to go by myself.,"baiklah, apakah kamu berencana pergi ke sekolah besok?"
483,"well anyway, do you plan on going to school tomorrow?","tidak, kupikir aku akan pergi ke bioskop."
484,did you make it to school today?,aku selalu melakukan. Apakah kamu pergi ke sekolah hari ini?
485,i always do. did you go to school today?,"tidak, aku tidak melakukannya."
486,"no, i didn't.","seharusnya kamu menontonnya, tapi apakah kamu pernah menonton film akhir-akhir ini?"
487,"you should have, but have you seen any movies lately?",itu adalah perubahan topik yang aneh.
488,that was an odd change of subject.,"mungkin memang begitu, tapi jawablah pertanyaannya."
489,"maybe it was, but answer the question.","tidak, tidak baru-baru ini."
490,"no, not recently.",aku ingin pergi menonton film akhir pekan ini.
491,i want to go to see a movie this weekend.,lalu apa yang menghentikanmu?
492,what's stopping you then?,aku tidak ingin pergi sendirian.
493,i don't want to go alone.,"jadi, apakah kamu akan berada di sekolah besok?"
494,"so, will you be at school tomorrow?","tidak, aku ingin pergi ke bioskop saja."
495,did you even bother to go to school today?,"ya, aku pergi. Apakah kamu pergi?"
496,"yeah, i went. did you go?","tidak, aku tidak merasa menyukainya."
497,"no, i didn't feel like it.","itu bagus, apakah kamu pernah ke bioskop akhir-akhir ini?"
498,"that's nice, have you been to the movies lately?","tidak, tapi itu adalah perubahan topik yang acak."
499,"no, but that was a random change of subject.","itu mungkin acak, tetapi bukan?"
500,"it may have been random, but have you?",aku belum melakukannya akhir-akhir ini.
501,i haven't lately.,saya ingin sekali menonton film akhir pekan ini.
502,i would love to catch a movie this weekend.,"kalau begitu, kenapa kamu tidak pergi saja?"
503,"so then, why don't you just go?",aku tidak ingin menonton film sendirian.
504,i don't want to see a movie by myself.,"oke, jadi besok kamu berangkat sekolah?"
505,thanks for coming to see me today.,Tidak masalah. lagipula aku benar-benar merindukanmu.
506,it's no problem. i was really missing you anyway.,aku juga merindukan mu.
507,i missed you too.,kenapa kamu belum mencoba datang menemuiku?
508,why haven't you tried to come see me then?,aku sangat sibuk.
509,i've been really busy.,melakukan apa?
510,doing what?,bekerja.
511,working.,"aku ingin datang menemuimu lebih cepat, tapi aku juga sibuk."
512,"i would've come to see you sooner, but i've been busy too.",Sudah lakukan apa?
513,what have you been doing?,aku juga sudah bekerja.
514,i've been working too.,"bagaimanapun juga, aku sangat senang kamu datang menemuiku."
515,"well regardless, i'm very happy that you came to see me.",saya juga.
516,i'm really glad that you came to see me.,saya harus. aku sangat merindukanmu.
517,i had to. i was missing you a lot.,aku juga merindukanmu.
518,i was missing you too.,"jadi, kenapa kamu belum mengunjungiku?"
519,"so, why haven't you visited me?",aku sebenarnya sedang sibuk akhir-akhir ini.
520,i've actually been busy lately.,Sudah lakukan apa?
521,what have you been doing?,aku baru saja bekerja sangat keras.
522,i've just been working really hard.,aku juga sedang sibuk.
523,i've also been busy.,ceritakan padaku apa yang telah kamu lakukan.
524,tell me what you've been doing.,"pada dasarnya, aku juga sudah bekerja."
525,"basically, i've been working too.","baiklah terserah, aku senang kamu datang."
526,"well whatever, i'm glad you came.",aku juga.
527,i'm really happy that you came to visit me.,aku sangat merindukanmu.
528,i really missed you a lot.,aku sangat merindukanmu.
529,i've been missing you like crazy.,aku tidak mengerti kenapa kamu tidak datang mengunjungiku.
530,i don't understand why you haven't come to visit me.,"akhir-akhir ini, aku cukup sibuk."
531,"lately, i've been quite busy.",beritahu aku apa yang sedang kamu lakukan.
532,tell me what you've been up to.,aku benar-benar banyak bekerja akhir-akhir ini.
533,i've really been working a lot lately.,aku sendiri cukup sibuk.
534,i've been pretty busy myself.,jadi apa yang sudah kamu lakukan?
535,so what have you been up to?,aku baru saja banyak bekerja.
536,i've just been working a lot.,"apa pun alasannya, saya senang Anda mengunjungi saya."
537,"hey, did you hear about jessica's party this weekend?","ya, tapi aku masih menunggu undanganku."
538,"yeah, but i'm still waiting for my invitation.","ah, benarkah? dia memberiku milikku sebelumnya hari ini."
539,oh really? she gave me mine earlier today.,"baiklah, dia mungkin akan memberiku undanganku nanti hari ini."
540,"well, she'll probably just give me my invitation later on today.","ya, jadi apakah kamu berencana untuk pergi?"
541,"yeah, so are you planning on going?",saya kira demikian. sepertinya itu akan sangat menyenangkan.
542,i think so. it sounds like it's going to be a lot of fun.,"sungguh, aku tidak sabar menunggunya."
543,"it really does, i can't wait.",jam berapa pestanya dimulai?
544,what time does the party start?,itu dimulai pada jam 8.
545,it starts at 8 o'clock.,"oh, sejauh ini sudah berapa orang yang dia undang?"
546,"oh, well, how many people has she given invites to so far?","Aku tidak yakin, tapi menurutku dia tidak membagikan sebanyak itu."
547,"i'm not sure, but i don't think she's given out that many.","baiklah, mudah-mudahan dia mau memberiku undanganku hari ini."
548,have you heard about jessica's party on saturday?,"Aku sudah mendengarnya, tapi aku masih menunggu undanganku."
549,"i've heard about it, but i'm still waiting for my invitation.",Sungguh? aku mendapatkan milikku darinya pagi ini.
550,really? i got mine from her this morning.,Aku kira dia akan memberiku undanganku hari ini atau besok.
551,i'm guessing that she's going to give me my invite today or tomorrow.,"Anda mungkin benar, apakah Anda berniat pergi ke pesta?"
552,"you're probably right, do you intend on going to the party?",aku ingin. kudengar itu akan sangat menyenangkan.
553,i want to. i heard it's going to be really fun.,"aku tahu, kedengarannya cukup mengagumkan."
554,"i know, it does sound pretty awesome.","iya, kapan pestanya dimulai?"
555,"well, when does the party start?",itu seharusnya dimulai sekitar pukul delapan.
556,it's supposed to start at about eight.,berapa banyak undangan yang dia berikan?
557,how many invitations has she given out?,"Aku benar-benar tidak tahu, tapi menurutku dia belum memberikan sebanyak itu."
558,"i really don't know, but i don't think she gave out that many yet.","Aku benar-benar ingin pergi, jadi kuharap dia segera memberikan undanganku."
559,has anyone told you about jessica's party coming up?,aku sudah diberitahu tentang hal itu. aku hanya menunggu undanganku.
560,i was told about it already. i'm just waiting for my invitation.,Apakah itu benar? aku sudah mendapat undangan darinya sebelumnya.
561,is that right? i already got my invitation from her earlier.,aku yakin dia akan memberiku undangan hari ini.
562,i believe that she will give me the invitation today.,apakah kamu bahkan akan pergi?
563,are you even going to go?,"ya, sepertinya ini akan menjadi pesta terbaik tahun ini."
564,"yeah, it sounds like it's going to be the best party of the year.","tepatnya, sepertinya ini akan sangat menyenangkan."
565,"exactly, it seems like it's going to be loads of fun.",kapan tepatnya pestanya dimulai?
566,when exactly does the party start?,di undangan tertulis dimulai jam 8 malam.
567,the invitation says it starts at 8:00 p.m.,apakah dia sudah membagikan banyak undangan?
568,has she given out a lot of invitations yet?,"Aku tidak tahu, dia belum membagikan banyak."
569,"hey, what's up?",tidak ada apa-apa sebenarnya.
570,nothing really.,aku mengadakan pesta pada hari Jumat.
571,i'm throwing a party on friday.,aku tidak menyadarinya.
572,i didn't realize that.,kamu tidak melakukannya?
573,you didn't?,tidak ada yang memberitahuku apa pun tentang pestamu.
574,nobody has told me anything about your party.,apakah kamu ingin pergi?
575,did you want to go?,kapan itu dimulai?
576,when does it start?,pada jam 8:00 malam.
577,at 8:00 p.m.,saya akan berada disana.
578,i'll be there.,sebaiknya aku menemuimu di sana.
579,i'd better see you there.,Tentu saja.
580,what's going on with you?,Bagus. Kamu kenapa?
581,fine. what's going on with you?,aku mengadakan pesta hari Jumat ini.
582,i'm having a party this friday.,aku tidak tahu.
583,i had no idea.,Apakah itu benar?
584,is that right?,aku tidak mendengar apa pun tentang hal itu.
585,i didn't hear anything about it.,Bisakah kamu pergi?
586,can you go?,jam berapa?
587,what time?,itu dimulai pada jam 8.
588,it starts at 8 o'clock.,Aku akan pergi.
589,i'll go.,aku harap aku akan menemuimu di sana.
590,i hope that i'll see you there.,tanpa keraguan.
591,what's going on?,tidak banyak.
592,not much.,"Jumat ini, aku mengadakan pesta."
593,"this friday, i'm throwing a party.","ah, benarkah? saya tidak tahu itu."
594,oh really? i didn't know that.,Apakah kamu serius?
595,are you serious?,saya belum mendengar apa pun tentang hal itu.
596,i haven't heard anything about it.,Bisakah kamu membuatnya?
597,can you make it?,jam berapa itu mulai?
598,what time does it start?,pesta dimulai jam 8.
599,the party starts at 8.,"ya, kupikir aku akan pergi."
600,"yeah, i think i'll go.",apakah aku akan menemuimu di sana?
601,what's going on?,"tidak ada apa-apa, kamu?"
602,"nothing really, you?",aku akan mengadakan pesta Sabtu depan.
603,i'm throwing a party next saturday.,Apakah itu benar?
604,is that right?,"ya, apakah kamu akan datang?"
605,"yeah, are you going to come?","maafkan aku, aku tidak bisa."
606,"i'm sorry, i can't.",mengapa tidak?
607,why not?,aku tidak benar-benar menginginkannya.
608,i don't really want to.,"baiklah, kenapa kamu tidak?"
609,"well, why don't you?",aku benci pergi ke pesta.
610,i hate going to parties.,"baiklah, tidak apa-apa."
611,"well, that's okay.",ya maaf.
612,what's up?,"tidak ada apa-apa, bagaimana denganmu?"
613,"nothing, how about you?","Sabtu depan, aku akan mengadakan pesta."
614,"next saturday, i'm going to have a party.","ah, benarkah?"
615,"oh, really?",kamu datang?
616,you are coming?,mungkin tidak.
617,probably not.,mengapa demikian?
618,why is that?,aku tidak ingin pergi.
619,i don't feel like going.,mengapa tidak?
620,why not?,aku benar-benar tidak tahan pergi ke pesta.
621,i really can't stand going to parties.,"aku mengerti, kurasa."
622,"i understand, i guess.",maaf tentang itu.
623,what's happening?,"tidak banyak, bagaimana denganmu?"
624,"not a lot, what about you?",aku akan mengadakan pesta hari Sabtu depan.
625,i'm having a party next saturday.,itu bagus.
626,that's nice.,apakah kamu akan berada di sana?
